repetition_key,cluster_size,render_mode,default_scale,dominant_surface_signature,dominant_resolution,dominant_inputs,dominant_physics,examples,differentiation_levers
canvas|full|draggable|none|resolved|continuous|haptics,87,canvas,full,draggable,state-morph,drag,gravitational | network | fluid | optical,87:shame-compass | 98:narrative-override | 105:blind-spot | 121:subtext-scanner | 145:regret-minimization | 146:pre-hindsight | 148:worst-case-simulator | 178:abundance-scan,"Break canvas sameness with depth, glass, or device-coupled motion | Differentiate drag atoms by counterforce and destination law, not by object theme | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|draggable|none|resolved|discrete|haptics,59,canvas,full,draggable,seal,drag,gravitational | network | optical | structural,93:belief-bridge | 118:vector-pivot | 123:yet-append | 128:absurdity-filter | 162:truce-table | 163:perspective-swap | 164:translation-ear | 171:essentialism,"Break canvas sameness with depth, glass, or device-coupled motion | Differentiate drag atoms by counterforce and destination law, not by object theme | Avoid overusing seal endings; vary into field-recompose or state-morph where possible | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|tappable|none|resolved|discrete|haptics,55,canvas,full,tappable,field-recompose,tap,gravitational | network | structural | fluid,80:holographic-drop | 107:absurdity-deflation | 112:micro-step-shrink | 114:friction-injection | 124:conjunction-shift | 159:gut-signal | 161:mirror-shield | 170:common-ground-seal,"Break canvas sameness with depth, glass, or device-coupled motion | Upgrade tap atoms with richer aftermath so the action does more than trigger | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|swipeable|none|resolved|discrete|haptics,35,canvas,full,swipeable,field-recompose,swipe,gravitational | network | fluid | optical,68:ancestral-cut | 176:obstacle-flip | 203:syntactic-severance | 251:matryoshka | 267:character-drop | 273:autumn-leaf | 286:tectonic-drop | 296:karmic-severance,"Break canvas sameness with depth, glass, or device-coupled motion | Make swipe atoms directionally decisive instead of interchangeable | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|pinchable|none|resolved|continuous|haptics,30,canvas,full,pinchable,field-recompose,pinch,gravitational | network | optical | fluid,70:third-person-shift | 77:vastness-expansion | 201:theater-lens | 257:space-container | 285:focal-collapse | 295:namaste-lens | 312:dissonant-chord | 339:knot-release,"Break canvas sameness with depth, glass, or device-coupled motion | Use scale change to alter ontology, not just size | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|holdable|none|resolved|continuous|haptics,28,canvas,full,holdable,field-recompose,hold,gravitational | fluid | network | thermal,133:status-seesaw | 210:observer-seal | 211:semantic-stripping | 230:shifter-seal | 245:pendulum-arrest | 272:evaporation | 290:anchor-seal | 313:resonant-shatter,"Break canvas sameness with depth, glass, or device-coupled motion | Use hold duration, strain, and breath cadence to create consequence | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|observable|none|resolved|discrete|haptics,17,canvas,full,observable,field-recompose,observe,gravitational | thermal | network | fluid,50:silent-rest | 426:archimedes-lift | 439:false-bottom-net | 485:bedrock-scatter | 488:buoyancy-rebound | 493:structural-load | 550:apex-inversion-monument | 623:slingshot-comeback,"Break canvas sameness with depth, glass, or device-coupled motion | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|drawable|none|resolved|discrete|haptics,13,canvas,full,drawable,seal,draw,network | gravitational | optical | fluid,130:interpreter-seal | 207:glass-wall | 253:predicate-eraser | 298:i-am | 320:cymatic-link | 322:constellation-link | 366:fiber-optic | 370:circuit-complete,"Break canvas sameness with depth, glass, or device-coupled motion | Avoid overusing seal endings; vary into field-recompose or state-morph where possible | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|pinchable|none|resolved|discrete|haptics,12,canvas,full,pinchable,field-recompose,pinch,network | gravitational | topological | acoustic,95:luck-surface | 333:fabric-tear | 415:droste-recursion | 419:tesseract-unfold | 441:tesseract-unfolding | 460:ego-strip | 545:bottleneck-expand | 564:vanishing-point-converge,"Break canvas sameness with depth, glass, or device-coupled motion | Use scale change to alter ontology, not just size | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|scrubable|none|resolved|continuous|haptics,12,canvas,full,scrubable,field-recompose,scrub,gravitational | network | fluid | optical,238:butterfly-effect | 258:nobody | 311:base-frequency | 347:depth-pressure | 422:buoyancy-shift | 457:focal-length-shift | 514:maze-wall-elevation | 540:grand-canyon-carve,"Break canvas sameness with depth, glass, or device-coupled motion | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|draggable+tappable|none|resolved|discrete|haptics,11,canvas,full,tappable+draggable,field-recompose,drag | tap,gravitational | structural | acoustic | network,76:micro-step | 109:echo-cancellation | 134:empathy-bridge | 135:aikido-redirect | 174:leverage-engine | 263:toy-box | 386:lever-advantage | 431:echolocation-ping,"Break canvas sameness with depth, glass, or device-coupled motion | Differentiate drag atoms by counterforce and destination law, not by object theme | Upgrade tap atoms with richer aftermath so the action does more than trigger | Consider adding a secondary sensor channel where it deepens the law"
canvas|full|drawable|none|resolved|continuous|haptics,11,canvas,full,drawable,field-recompose,draw,fluid | gravitational | network | optical,216:tabula-rasa | 288:thermal-boundary | 362:aqueduct-channel | 469:asymmetric-reconciliation | 532:riverbed-flow | 539:oxbow-pivot | 597:meander-curve | 607:multiple-fronts-flow,"Break canvas sameness with depth, glass, or device-coupled motion | Consider adding a secondary sensor channel where it deepens the law"
