atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
1,chrono-kinetic,The Chrono-Kinetic Engine,1,1,physics-engines,The Physics Engines,playable,composition-pass,seeded,hold,guide,pressure,high,loop,release,review,yes,yes,no,6,composition-sensitive,low-heat,medium,high,high,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-low | heat:low-heat | input:breath | input:drag | input:hold | job:connection | job:focus | job:temporal | physics:fluid | physics:temporal | physics:thermal | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
2,phase-shift,The Phase-Shift Engine,1,1,physics-engines,The Physics Engines,signature,signature-pass,seeded,curation-ready,guide,entanglement,high,state-morph,transformation,yes,yes,review,review,10,hero-candidate,mid-heat,signature,high,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:mid-heat | input:breath | input:drag | input:tap | job:connection | job:release | job:transmutation | physics:fluid | physics:network | physics:thermal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
3,z-axis-parallax,The Z-Axis Parallax Engine,1,1,physics-engines,The Physics Engines,hero-grade,hero-pass,seeded,curation-ready,tilt,distortion,high,loop,clarity,yes,review,yes,no,8,hero-candidate,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:rich | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-low | heat:low-heat | input:observe | input:pinch | input:tilt | job:connection | job:focus | job:perspective | physics:fluid | physics:optical | physics:temporal | resolution:loop | sensor:haptics | sensor:tilt | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
4,somatic-resonance,The Somatic Resonance Engine,1,1,physics-engines,The Physics Engines,hero-grade,hero-pass,seeded,curation-ready,hold,pressure,high,loop,release,yes,yes,review,no,9,hero-candidate,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-low | heat:low-heat | input:breath | input:hold | input:observe | job:connection | job:focus | job:regulation | physics:acoustic | physics:fluid | physics:thermal | resolution:loop | sensor:audio | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
5,constructive-destructive,The Constructive / Destructive Engine,1,1,physics-engines,The Physics Engines,hero-grade,hero-pass,seeded,curation-ready,redirect,weight,high,state-morph,transformation,yes,no,no,review,8,hero-candidate,low-heat,high,low,low,medium,1,low,,complexity:moderate | fit:insight-low | fit:journey-low | fit:navicue-high | fit:practice-medium | heat:low-heat | input:drag | input:hold | input:swipe | input:tap | job:agency | job:boundary | job:connection | physics:fluid | physics:gravitational | physics:temporal | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
6,cryptographic,The Cryptographic Engine,1,1,physics-engines,The Physics Engines,hero-grade,hero-pass,seeded,curation-ready,redirect,distortion,high,state-morph,transformation,yes,review,review,review,8,hero-candidate,low-heat,high,medium,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-medium | fit:navicue-high | fit:practice-medium | heat:low-heat | input:drag | input:swipe | input:tap | job:focus | job:identity | job:perspective | physics:fluid | physics:optical | physics:temporal | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
7,symbiotic,The Symbiotic Engine,1,1,physics-engines,The Physics Engines,signature,signature-pass,seeded,curation-ready,guide,entanglement,high,state-morph,transformation,yes,review,yes,review,9,hero-candidate,low-heat,signature,medium,high,medium,1,low,,complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:breath | input:drag | input:tap | job:agency | job:connection | job:focus | physics:fluid | physics:network | physics:temporal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
8,optical,The Optical Engine,1,1,physics-engines,The Physics Engines,playable,composition-pass,seeded,hold,clear,distortion,high,loop,clarity,review,yes,yes,no,7,composition-sensitive,low-heat,medium,high,high,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-low | heat:low-heat | input:drag | input:scrub | input:tap | job:agency | job:focus | job:perspective | physics:fluid | physics:optical | physics:temporal | resolution:loop | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
9,equilibrium,The Equilibrium Engine,1,1,physics-engines,The Physics Engines,playable,composition-pass,seeded,hold,tilt,pressure,high,state-morph,transformation,review,yes,review,no,9,composition-sensitive,low-heat,medium,high,medium,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-medium | fit:practice-low | heat:low-heat | input:breath | input:drag | input:tilt | job:connection | job:focus | job:perspective | physics:fluid | physics:gravitational | physics:thermal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:tilt | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
10,thermodynamic,The Thermodynamic Engine,1,1,physics-engines,The Physics Engines,signature,signature-pass,seeded,curation-ready,guide,pressure,high,state-morph,transformation,yes,yes,yes,review,10,hero-candidate,low-heat,signature,high,high,medium,1,low,,complexity:moderate | fit:insight-high | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:breath | input:drag | input:hold | input:tap | job:connection | job:focus | job:perspective | physics:fluid | physics:temporal | physics:thermal | resolution:state-morph | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
