atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,sensor_escalation,closure_upgrade,occupancy_upgrade,cluster_rule
87,shame-compass,The Compass of Shame Engine,1,9,The Shadow & Crucible,identity | agency | boundary,subtractive | thermal | optical,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
98,narrative-override,The Narrative Override Engine,1,10,The Reality Bender,agency | boundary | focus,subtractive | structural,Change counterforce law so the same drag gesture solves a different equation,"Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
105,blind-spot,The Blind Spot Engine,2,11,The Epistemic Constructs,agency | identity | connection,optical | structural | network,"Change propagation law: local pull, cascade, routing, field recruitment","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
121,subtext-scanner,The Subtext Scanner Engine,2,13,The Semantic Translators,identity | perspective | transmutation,gravitational,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
145,regret-minimization,The Regret Minimization Engine,2,15,The Time Capsule & Future Weaving,temporal | boundary | agency,temporal | thermal | fluid,"Change drag law: eddy, stream, pressure gradient, viscosity shift","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
146,pre-hindsight,The Pre-Hindsight Engine,2,15,The Time Capsule & Future Weaving,boundary | temporal | focus,fluid | temporal | thermal,"Change drag law: eddy, stream, pressure gradient, viscosity shift","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
148,worst-case-simulator,The Worst-Case Simulator Engine,2,15,The Time Capsule & Future Weaving,boundary | temporal | focus,fluid | optical | temporal,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
178,abundance-scan,The Abundance Scan Engine,2,18,The Visionary & Strategist,perspective | temporal | agency,optical | structural,"Change reveal law: refocus, strip distortion, expose hidden layer","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
224,harmonic-synthesis,The Harmonic Synthesis Engine,3,23,The Fluidity Mechanics,transmutation | release | agency,fluid | gravitational | network,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Protect state morph but vary the aftermath so endings do not all feel like the same morph,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
246,magnetic-suspension,The Magnetic Suspension Engine,3,25,The Dialectical Engine,focus | perspective,topological | gravitational | acoustic,"Change destination law: orbit, drop, levitate, anchor, escape","Candidate for secondary sensor channel: breath, microphone, or gyroscope if it deepens the law",Push the field recompose harder so the whole environment visibly reorganizes,Protect hero occupancy; do not let the drag zone shrink into local UI behavior,"Differentiate drag atoms by counterforce and destination law, not by visual object theme."
