review_order,atom_number,atom_id,atom_name,series_number,series_name,manual_hero_grade,manual_signoff_status,ingest_readiness,hero_role,primary_use,why_it_advances,protect_at_review
1,4,somatic-resonance,The Somatic Resonance Engine,1,The Physics Engines,hero-grade,approved,backend-ready,Autonomic entrainment benchmark,navicue,"This is one of the cleanest state-before-story atoms in the catalog. Breath, hold, sound, and membrane deformation all point at one intervention: regulation through felt resonance.",Do not flatten the organic membrane into a generic orb. The living edge and bilateral mode are what give it authority.
2,5,constructive-destructive,The Constructive / Destructive Engine,1,The Physics Engines,hero-grade,approved,backend-ready,Boundary construction benchmark,navicue,"It turns saying no into mass, lift, gravity, and permanence. The wall feels built, not asserted.","Preserve mass-lag and snap logic. If blocks feel weightless, the atom loses its sovereignty."
3,6,cryptographic,The Cryptographic Engine,1,The Physics Engines,hero-grade,approved,backend-ready,Obscuration-clearing benchmark,insight,The layer-by-layer wipe teaches that truth was obscured rather than absent. It is reusable and semantically thin.,"The hidden geometry must feel worth revealing. If the truth layer is weak, the wipe becomes cosmetic."
4,22,boids-flocking,The Boids Flocking Engine,3,The Biomimetic Algorithms,hero-grade,approved,backend-ready,Influence-over-force benchmark,navicue,This is a strong proof that gentle guidance beats control. The flock coherence metric creates real consequence.,Fast movement must continue to scatter the flock. That punitive feedback is the lesson.
5,56,reality-tear,The Reality Tear Engine,6,The Meta-System & Glitch,hero-grade,approved,backend-ready,Belief-as-code benchmark,insight,"It stages limiting belief as editable code rather than identity. The tear, reveal, and variable flip are highly legible.","The tear needs physical raggedness. If it opens too cleanly, the reveal loses force."
6,579,exhale-release,The Exhale Release Engine,58,The Ephemeral Bloom,hero-grade,approved,backend-ready,Minimal release benchmark,practice,"This is a clean, compact surrender atom. It proves that small engines can still carry premium regulation when the breath law is strict.",Do not let simplicity become vagueness. The freeze-to-release contrast has to stay sharp.
7,3,z-axis-parallax,The Z-Axis Parallax Engine,1,The Physics Engines,hero-grade,approved,backend-ready,Perspective expansion benchmark,insight,The true 3D zoom-out remains one of the strongest perspective mechanics in the system and is portable across multiple wrappers.,"Protect the scale-domain progression. If the problem mass shrinks too quickly, the overview effect weakens."
8,21,l-system-branching,The L-System Branching Engine,3,The Biomimetic Algorithms,hero-grade,approved,backend-ready,Growth-through-breath benchmark,journey,It makes micro-yes growth visible and fractal. The mirrored root/canopy logic gives it real depth.,"Keep the generational progression legible. If growth feels constant rather than staged, the atom loses meaning."
9,24,mycelial-routing,The Mycelial Routing Engine,3,The Biomimetic Algorithms,hero-grade,approved,backend-ready,Network consequence benchmark,journey,One ignition changing the whole field is a core Recoverlution law. This atom expresses that cleanly.,Preserve the cascade travel. Instant whole-network lighting would cheapen the relational math.
10,37,apneic-pause,The Apneic Pause Engine,4,The Via Negativa,hero-grade,approved,backend-ready,Stillness threshold benchmark,practice,It treats cessation itself as the intervention. The full freeze of the field is unusually disciplined and strong.,Everything must truly stop. Any leftover ambient motion breaks the atom’s authority.
11,19,retrocausal,The Retrocausal Engine,2,The Quantum Mechanics,hero-grade,approved,backend-ready,Meaning-rewrite benchmark,insight,It makes reinterpretation mechanical by letting present movement reorganize fractured past structure.,"The mandala end-state must feel materially earned, not merely animated into place."
12,41,phase-lock,The Phase Lock Engine,5,The Chrono-Acoustic Drives,hero-grade,approved,backend-ready,Internal conflict tuning benchmark,navicue,"Two incompatible states resolving into one harmonic waveform is direct, elegant, and reusable.",Keep the beat frequency audible and visible enough that convergence feels physically relieving.
13,47,tempo-override,The Tempo Override Engine,5,The Chrono-Acoustic Drives,hero-grade,approved,backend-ready,Body-rhythm override benchmark,practice,It proves the body can impose a slower reality on panic. The inertia model is what makes it credible.,"The world must resist at first. If the environment follows too easily, the override feels fake."
14,52,lag-spike,The Lag Spike Engine,6,The Meta-System & Glitch,hero-grade,approved,backend-ready,Frustration exposure benchmark,insight,This is a rare atom that weaponizes absence. It exposes compulsion with almost no visual complexity.,Do not add comfort during the freeze. The lack of response is the intervention.
15,54,kernel-panic,The Kernel Panic Engine,6,The Meta-System & Glitch,hero-grade,approved,backend-ready,Crash-and-reboot benchmark,navicue,"It externalizes rumination as system failure, then resolves through reboot and warmth. The progression is sharp and memorable.","The halt state needs to feel absolute before reboot. If the crash is too playful, the catharsis collapses."
16,75,ego-zoom,The Ego Zoom Engine,8,The Kinematic Topology,hero-grade,approved,backend-ready,Identity expansion benchmark,journey,"Concentric identity rings are simple, but the layer progression is powerful and durable in use.",The identity layers need enough spacing and darkness pushback to feel like true expansion.
17,119,friction-polish,The Friction Polish Engine,12,The Friction Mechanics,hero-grade,approved,backend-ready,Drag-to-ease benchmark,practice,It is one of the clearest practice atoms in the system: friction becomes smoothness through repeated contact.,The polished glide must feel noticeably different from the rough track. Otherwise it becomes just another scrub interaction.
18,149,ten-year-echo,The 10-Year Echo Engine,15,The Time Capsule & Future Weaving,hero-grade,approved,backend-ready,Voice crystallization benchmark,journey,It takes a recorded waveform and turns it into something preserved and dropped into depth. That is a good use of voice without turning into chat UI.,"The crystallization must feel like memory condensing, not just a shape morph."
19,221,binary-breaker,The Binary Breaker Engine,23,The Fluidity Mechanics,hero-grade,approved,backend-ready,Paradox mixing benchmark,insight,The atom makes nuance visible through stirring and gradient emergence. It is conceptually clean and highly reusable.,"The gradient must read as true emergence, not simple interpolation."
20,264,sisyphus-smile,The Sisyphus Smile Engine,27,The Cosmic Play,hero-grade,approved,backend-ready,Joy-through-rhythm benchmark,journey,"It upgrades burden into play through momentum, color diffraction, and repetition. That tonal inversion is valuable.","Keep the rhythmic build. If one swipe is enough, the joy arc disappears."
21,269,infinite-canvas,The Infinite Canvas Engine,27,The Cosmic Play,hero-grade,approved,backend-ready,Scale-of-error benchmark,insight,This is a strong perspective atom for shrinking mistakes against an infinite frame. The zoom law is simple and powerful.,The mistake has to feel painfully local before the zoom. Otherwise the expansion lacks emotional contrast.
22,270,lila-seal,The Lila Seal,27,The Cosmic Play,hero-grade,approved,backend-ready,Flow-state capstone benchmark,journey,"It rewards continuous, playful movement without reintroducing scorekeeping. That is rare and useful.",Protect the ribbon quality and the sustained-flow requirement. The seal should only arrive through true continuity.
23,314,silence-gap,The Silence Gap Engine,32,The Cymatic Engine,hero-grade,approved,backend-ready,Silence reveal benchmark,insight,Frequency to zero as a gateway to truth is minimal but potent. It belongs in the hero tier when framed well.,"The deadness has to be real. If the UI still feels busy while frequency approaches zero, the reveal is weakened."
24,359,kinetic-battery,The Kinetic Battery Engine,36,The Friction Spark,hero-grade,approved,backend-ready,Self-generated energy benchmark,practice,It is a clean demonstration that energy can be produced through the body’s rhythm rather than borrowed from stimulus.,"The fill should feel dense and earned. If the battery fills too quickly, the proof disappears."
