batch_id,atom_id,payload_json
navicue-atom-approved-2026-03-06T21:43:20.605Z,brown-noise,"{""atom_id"":""brown-noise"",""atom_number"":46,""atom_name"":""The Brown Noise Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.521Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,thermodynamic,"{""atom_id"":""thermodynamic"",""atom_number"":10,""atom_name"":""The Thermodynamic Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,audio-zoom,"{""atom_id"":""audio-zoom"",""atom_number"":45,""atom_name"":""The Audio Zoom Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,standing-wave,"{""atom_id"":""standing-wave"",""atom_number"":49,""atom_name"":""The Standing Wave Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,phase-shift,"{""atom_id"":""phase-shift"",""atom_number"":2,""atom_name"":""The Phase-Shift Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,wave-collapse,"{""atom_id"":""wave-collapse"",""atom_number"":11,""atom_name"":""The Wave Collapse Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,cymatic-coherence,"{""atom_id"":""cymatic-coherence"",""atom_number"":44,""atom_name"":""The Cymatic Coherence Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,respiration-pendulum,"{""atom_id"":""respiration-pendulum"",""atom_number"":282,""atom_name"":""The Respiration Pendulum Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,sand-mandala,"{""atom_id"":""sand-mandala"",""atom_number"":262,""atom_name"":""The Sand Mandala Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,symbiotic,"{""atom_id"":""symbiotic"",""atom_number"":7,""atom_name"":""The Symbiotic Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
