number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
1,chrono-kinetic,The Chrono-Kinetic Engine,1,1,The Physics Engines,canvas,focus,draggable|holdable|breathable,haptics,modulates,true,false,6,composition-sensitive,moderate,drag|hold|breath,visual|touch|breath|haptics,loop,temporal|connection|focus,temporal|fluid|thermal,low-heat,medium,high,high,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-low|heat:low-heat|input:breath|input:drag|input:hold|job:connection|job:focus|job:temporal|physics:fluid|physics:temporal|physics:thermal|resolution:loop|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
2,phase-shift,The Phase-Shift Engine,1,1,The Physics Engines,webgl,full,tappable|draggable|breathable,haptics,modulates,true,true,10,hero-candidate,moderate,drag|tap|breath,visual|touch|breath|haptics,state-morph,connection|release|transmutation,fluid|thermal|network,mid-heat,signature,high,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:mid-heat|input:breath|input:drag|input:tap|job:connection|job:release|job:transmutation|physics:fluid|physics:network|physics:thermal|resolution:state-morph|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
3,z-axis-parallax,The Z-Axis Parallax Engine,1,1,The Physics Engines,webgl,full,pinchable|gyroscopic|observable,haptics|gyroscope,none,true,false,8,hero-candidate,rich,tilt|pinch|observe,visual|touch|haptics|tilt,loop,perspective|connection|focus,fluid|optical|temporal,low-heat,high,medium,high,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:rich|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-low|heat:low-heat|input:observe|input:pinch|input:tilt|job:connection|job:focus|job:perspective|physics:fluid|physics:optical|physics:temporal|resolution:loop|sensor:haptics|sensor:tilt|sensor:touch|sensor:visual
4,somatic-resonance,The Somatic Resonance Engine,1,1,The Physics Engines,canvas,full,breathable|holdable|observable,haptics|audio-output,drives,true,false,9,hero-candidate,moderate,hold|breath|observe,visual|touch|breath|haptics|audio,loop,regulation|connection|focus,thermal|acoustic|fluid,low-heat,high,high,medium,low,1,medium,No explicit resolution path; wrapper must carry closure.,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-high|fit:practice-low|heat:low-heat|input:breath|input:hold|input:observe|job:connection|job:focus|job:regulation|physics:acoustic|physics:fluid|physics:thermal|resolution:loop|sensor:audio|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
5,constructive-destructive,The Constructive / Destructive Engine,1,1,The Physics Engines,canvas,field,draggable|tappable|swipeable|holdable,haptics,none,false,true,8,hero-candidate,moderate,swipe|hold|tap|drag,visual|touch|haptics,state-morph,agency|boundary|connection,gravitational|fluid|temporal,low-heat,high,low,low,medium,1,low,,complexity:moderate|fit:insight-low|fit:journey-low|fit:navicue-high|fit:practice-medium|heat:low-heat|input:drag|input:hold|input:swipe|input:tap|job:agency|job:boundary|job:connection|physics:fluid|physics:gravitational|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
6,cryptographic,The Cryptographic Engine,1,1,The Physics Engines,canvas,full,swipeable|draggable|tappable,haptics,none,false,true,8,hero-candidate,moderate,swipe|tap|drag,visual|touch|haptics,state-morph,focus|identity|perspective,fluid|optical|temporal,low-heat,high,medium,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-medium|fit:navicue-high|fit:practice-medium|heat:low-heat|input:drag|input:swipe|input:tap|job:focus|job:identity|job:perspective|physics:fluid|physics:optical|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
7,symbiotic,The Symbiotic Engine,1,1,The Physics Engines,svg,field,draggable|tappable|typeable,haptics,modulates,true,true,9,hero-candidate,moderate,drag|tap|breath,visual|touch|breath|haptics,state-morph,connection|agency|focus,network|fluid|temporal,low-heat,signature,medium,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:breath|input:drag|input:tap|job:agency|job:connection|job:focus|physics:fluid|physics:network|physics:temporal|resolution:state-morph|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
8,optical,The Optical Engine,1,1,The Physics Engines,dom,full,draggable|scrubable|tappable,haptics,none,true,false,7,composition-sensitive,moderate,scrub|tap|drag,visual|touch|haptics,loop,perspective|focus|agency,optical|fluid|temporal,low-heat,medium,high,high,low,1,high,"Quality likely depends on stronger composition, scale, and payoff. | No explicit resolution path; wrapper must carry closure.",complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-low|heat:low-heat|input:drag|input:scrub|input:tap|job:agency|job:focus|job:perspective|physics:fluid|physics:optical|physics:temporal|resolution:loop|sensor:haptics|sensor:touch|sensor:visual
9,equilibrium,The Equilibrium Engine,1,1,The Physics Engines,canvas,focus,gyroscopic|draggable|breathable,haptics|gyroscope,modulates,true,true,9,composition-sensitive,moderate,tilt|drag|breath,visual|touch|breath|haptics|tilt,state-morph,connection|focus|perspective,gravitational|thermal|fluid,low-heat,medium,high,medium,low,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-low|heat:low-heat|input:breath|input:drag|input:tilt|job:connection|job:focus|job:perspective|physics:fluid|physics:gravitational|physics:thermal|resolution:state-morph|sensor:breath|sensor:haptics|sensor:tilt|sensor:touch|sensor:visual
10,thermodynamic,The Thermodynamic Engine,1,1,The Physics Engines,webgl,full,tappable|draggable|holdable,haptics,modulates,true,true,10,hero-candidate,moderate,drag|hold|tap|breath,visual|touch|breath|haptics,state-morph,connection|focus|perspective,thermal|fluid|temporal,low-heat,signature,high,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:breath|input:drag|input:hold|input:tap|job:connection|job:focus|job:perspective|physics:fluid|physics:temporal|physics:thermal|resolution:state-morph|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
