atom_number,atom_id,atom_name,series_number,series_name,review_lane,proposed_hero_grade,structural_score,repetition_cluster_size,refinement_priority,execution_wave,execution_reason,execution_action
604,escalation-cool,The Escalation Cool Engine,61,The Aikido Redirect,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
632,gravity-assist-slingshot,The Gravity Assist Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
634,gear-reversal-flip,The Gear Reversal Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
639,slipstream-draft,The Slipstream Draft Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
641,aerodynamic-draft,The Aerodynamic Draft Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
643,thermal-updraft-lift,The Thermal Updraft Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
645,bow-wave-surf,The Bow Wave Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
646,wake-ride-pioneer,The Wake Ride Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
647,capillary-action-rise,The Capillary Action Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
651,rotational-boundary,The Rotational Boundary Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
656,orbital-deflection,The Orbital Deflection Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
658,expanding-radius,The Expanding Radius Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
