atom_number,atom_id,atom_name,series_number,series_name,review_lane,proposed_hero_grade,structural_score,repetition_cluster_size,refinement_priority,dominant_verb_seed,counterforce_type_seed,resolution_class_seed,remediation_axis,next_move
604,escalation-cool,The Escalation Cool Engine,61,The Aikido Redirect,composition-pass,playable,7,87,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
632,gravity-assist-slingshot,The Gravity Assist Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,guide,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
634,gear-reversal-flip,The Gear Reversal Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,guide,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
639,slipstream-draft,The Slipstream Draft Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,guide,entanglement,state-morph,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
641,aerodynamic-draft,The Aerodynamic Draft Engine,65,The Slipstream,composition-pass,playable,7,87,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
643,thermal-updraft-lift,The Thermal Updraft Engine,65,The Slipstream,composition-pass,playable,7,87,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
645,bow-wave-surf,The Bow Wave Engine,65,The Slipstream,composition-pass,playable,7,87,high,guide,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
646,wake-ride-pioneer,The Wake Ride Engine,65,The Slipstream,composition-pass,playable,7,87,high,guide,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
647,capillary-action-rise,The Capillary Action Engine,65,The Slipstream,composition-pass,playable,7,87,high,guide,constraint,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
651,rotational-boundary,The Rotational Boundary Engine,66,The Centrifuge,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
656,orbital-deflection,The Orbital Deflection Engine,66,The Centrifuge,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
658,expanding-radius,The Expanding Radius Engine,66,The Centrifuge,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
659,tether-snap-release,The Tether Snap Engine,66,The Centrifuge,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
660,apex-centrifuge,The Apex Centrifuge Engine,66,The Centrifuge,composition-pass,playable,7,87,high,guide,distortion,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
665,meshed-gears-lock,The Meshed Gears Engine,67,The Harmonious Friction,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
675,slackline-balance,The Slackline Engine,68,The Counter-Balance,composition-pass,playable,7,87,high,guide,weight,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
680,apex-equilibrium,The Apex Equilibrium Engine,68,The Counter-Balance,composition-pass,playable,7,87,high,guide,entanglement,seal,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
602,heavy-momentum-throw,The Heavy Momentum Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,guide,pressure,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
603,corner-trap-pivot,The Corner Trap Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
606,rigid-stance-sidestep,The Rigid Stance Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
611,sharp-corner-handle,The Sharp Corner Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,guide,entanglement,field-recompose,"Break sameness by counterforce and closure, not by theme naming",Route into cluster remediation before further curation
