atom_number,atom_id,atom_name,collection_number,series_number,series_name,therapeutic_jobs,physics_tags,primary_differentiation_axis,ignition_law,narrative_risk,closure_upgrade,cluster_rule
80,holographic-drop,The Holographic Fragment Engine,1,8,The Kinematic Topology,identity | release | transmutation,fluid | gravitational | topological,"Differentiate by where the field floods, clears, or settles after contact","Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
107,absurdity-deflation,The Absurdity Deflation Engine,2,11,The Epistemic Constructs,agency | connection,acoustic | structural | network,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
112,micro-step-shrink,The Micro-Step Engine,2,12,The Friction Mechanics,agency | boundary,gravitational | structural | thermal,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
114,friction-injection,The Friction Injection Engine,2,12,The Friction Mechanics,agency | boundary,structural | thermal,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,"Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
124,conjunction-shift,The Conjunction Shift Engine,2,13,The Semantic Translators,transmutation | focus | perspective,gravitational | network | subtractive,Differentiate by what gets routed or connected after contact,"Tap should cause a decisive reveal, inversion, or reframing event","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
159,gut-signal,The Gut Signal Engine,2,16,The Soma & Perception,temporal | release | agency,temporal | gravitational | network,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst",Risk of generic empowerment. The tap must create a specific post-contact condition.,Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
161,mirror-shield,The Mirror Shield Engine,2,17,The Diplomat & Social Physics II,boundary | focus | perspective,gravitational | structural,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
170,common-ground-seal,The Common Ground Seal,2,17,The Diplomat & Social Physics II,boundary | focus | perspective,gravitational | structural,"Differentiate by what gets assembled, snapped, or stabilized after contact","Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Avoid overusing seal endings; diversify into burst, bloom, anchor, or reveal where the law supports it.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
172,compound-interest,The Compound Interest Engine,2,18,The Visionary & Strategist,temporal | agency | perspective,network | structural | temporal,Differentiate by what gets routed or connected after contact,"Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.","Push the whole frame to recompose so the tap feels catalytic, not incidental.","Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
181,maya-veil,The Maya Veil Engine,2,19,The Mystic & Infinite Player,perspective | agency | identity,fluid | acoustic | optical,"Differentiate by where the field floods, clears, or settles after contact","Tap should establish a field condition or line-hold, not just trigger a burst","High risk of becoming a conceptual button. Keep the meaning in the field change, not the caption.",Strengthen the aftermath until the tap leaves a memorable state change.,"Differentiate discrete tap atoms by what the tap ignites, collapses, or reconfigures after contact, not by swapping labels on the same trigger."
